,SHB-261 외포장 박스,로터리,일반,A,KA180,0,0,S,K,530,372,219,1839,593,,,#VALUE!,,,,,
,세화342 외포장 박스,로터리,일반,B,KA180,S,0,0,K,537,318,326,1745,646,,,#VALUE!,,,,,
,우체국 EMS(L),로터리,일반,BA,JKA,S,S,S,K,540,390,340,1895,734,,,#VALUE!,,,,,
,SHB-541,로터리,일반,A,JKA,0,0,S,K,540,320,170,1755,492,,,#VALUE!,,,,,
,A301 외포장 박스,로터리,일반,B,KA180,S,0,0,K,542,220,434,1559,656,,,#VALUE!,,,,,
,SHB-311 외포장 박스,로터리,일반,A,KA180,0,0,S,K,542,335,494,1789,831,,,#VALUE!,,,,,
,SHB-312 외포장 박스,로터리,일반,A,KA180,0,0,S,K,542,335,404,1789,741,,,#VALUE!,,,,,
,AP20 외포장 박스,로터리,일반,B,KA180,S,0,0,K,551,318,435,1773,755,,,#VALUE!,,,,,
,AP15 외포장 박스,로터리,일반,B,KA180,S,0,0,K,552,318,416,1775,736,,,#VALUE!,,,,,
,세화W 12호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,557,318,506,1785,826,,,#VALUE!,,,,,
,세화292 외포장 박스,로터리,일반,B,KA180,S,0,0,K,562,318,486,1795,806,,,#VALUE!,,,,,
,세화312 외포장 박스,로터리,일반,B,KA180,S,0,0,K,562,318,516,1795,836,,,#VALUE!,,,,,
,A302 외포장 박스,로터리,일반,B,KA180,S,0,0,K,562,220,464,1599,686,,,#VALUE!,,,,,
,AP17 외포장 박스,로터리,일반,B,KA180,S,0,0,K,562,318,501,1795,821,,,#VALUE!,,,,,
,SHB-321 외포장 박스,로터리,일반,A,KA180,0,0,S,K,562,335,444,1829,781,,,#VALUE!,,,,,
,AP5 외포장 박스,로터리,일반,B,KA180,S,0,0,K,567,318,501,1805,821,,,#VALUE!,,,,,
,AP12 외포장 박스,로터리,일반,B,KA180,S,0,0,K,572,318,501,1815,821,,,#VALUE!,,,,,
,AP331 외포장 박스,로터리,일반,B,KA180,S,0,0,K,582,318,456,1835,776,,,#VALUE!,,,,,
